color_name,rgb,red,green,blue,hue_degree,saturation_percent,lightness_percent,hue,saturation,brightness,xy,hue_xy,livingcolors_xy
air force blue,#5d8aa8,93,138,168,204,30.1,51.2,37136,76,130,"{0.208515,0.220755}","{0.441536,0.441628}","{0.375546,0.445870}"
alice blue,#f0f8ff,240,248,255,208,100,97.1,37864,254,246,"{0.292577,0.312974}","{0.518833,0.374092}","{0.386278,0.454604}"
alizarin crimson,#e32636,227,38,54,354.9,77.1,52,64606,195,132,"{0.633644,0.328766}","{0.499669,0.429804}","{0.444866,0.400848}"
almond, #efdecd,239,222,205,30,51.5,87.1,5461,130,221,"{0.367213,0.365266}","{0.521627,0.384602}","{0.392285,0.452235}"
amaranth,#e52b50,229,43,80,348.1,78.2,53.3,63368,198,135,"{0.626880,0.325437}","{0.499680,0.426723}","{0.441120,0.400552}"
amber,#ffbf00,255,191,0,44.9,100,50,8173,254,127,"{0.537298,0.411558}","{0.540458,0.402298}","{0.411754,0.459765}"
american rose,#ff033e,255,3,62,346,100,50.6,62986,254,129,"{0.636529,0.328146}","{0.503978,0.426766}","{0.465006,0.378045}"
amethyst,#9966cc,153,102,204,270,50,60,49151,127,152,"{0.212864,0.113446}","{0.463250,0.424503}","{0.396091,0.421899}"
android green,#a4c639,164,198,57,74.5,55.3,50,13562,140,127,"{0.359391,0.546702}","{0.502761,0.422087}","{0.388766,0.466665}"
anti-flash white,#f2f3f4,242,243,244,210,8.3,95.3,38228,21,242,"{0.309899,0.326745}","{0.520521,0.376030}","{0.387848,0.454076}"
antique brass,#cd9575,205,149,117,21.8,46.8,63.1,3968,118,160,"{0.503364,0.375077}","{0.505759,0.413266}","{0.403567,0.442298}"
antique fuchsia,#915c83,145,92,131,315.8,22.4,46.5,57488,56,118,"{0.362981,0.234697}","{0.466074,0.438818}","{0.401545,0.426006}"
antique white,#faebd7,250,235,215,34.3,77.8,91.2,6244,197,231,"{0.365305,0.370269}","{0.526404,0.379598}","{0.391831,0.453652}"
ao,#008000,0,128,0,120,100,25.1,21845,254,64,"{0.300000,0.600000}","{0.399554,0.506994}","{0.359846,0.475958}"
apple green,#8db600,141,182,0,73.5,100,35.7,13380,254,91,"{0.348942,0.561134}","{0.492844,0.437106}","{0.389728,0.470848}"
apricot,#fbceb1,251,206,177,23.5,90.2,83.9,4277,229,213,"{0.444650,0.377225}","{0.526945,0.388012}","{0.398565,0.449240}"
